"Cód. da Unidade";"Unidade";"Histórico";"CNPJ";"Região Administrativa";"Município";"Direção";"Direção Administrativo";"Direção Acadêmica";"Telefone";"Aniversário da Cidade";"Endereço";"Site";"Redes Sociais";"Arquivos";"Logotipo";"Cursos"
"                297              ";"Fatec Matão – Luiz Marchesan";"Unidade criada em 2019.";"62.823.257/0297-78";"                Central                         ";"                Matão              ";"                Marcelo Rodolfo Picchi                f297dir@cps.sp.gov.br              ";"                Luzimara Fayan                f297adm@cps.sp.gov.br              ";"                Vitor Gorla Montiel                f297acad@cps.sp.gov.br              ";"                (16) 2016-2694 / 2016-2695                Discagem Abreviada: (6) 297              ";"                27/08              ";"Avenida Habib Gabriel, 1360 - Bairro Residencial Olívio Benassi - CEP: 15990-539 - Matão/SP";"https://fatecmatao.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/fatecmatao                                                                                  Instagram: https://www.instagram.com/fatecmatao                                                                                                  Linkedin: https://www.linkedin.com/school/fatecmatao                                                                                  Youtube: https://www.youtube.com/channel/UCm7alSqweOyoJ67G1eM8f0A                                                                                                                              ";"                                                                                Decreto de Criação: 64.111, de 11/02/2019 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2019/decreto-64111-11.02.2019.html                                    Lei de Nomeação: 17.504, 07/01/2022 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2022/lei-17504-07.01.2022.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/02/fatec_ra_central_matao.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise de Processos AgroindustriaisDesenvolvimento de Software Multiplataforma                                                                                                      "
"                113              ";"Fatec Mauá";"A Fatec foi implantada em 2002. ";"62.823.257/0113-05";"                Metropolitana de São Paulo                         ";"                Mauá              ";"                Jarbas Thaunahy Santos de Almeida                f113dir@cps.sp.gov.br              ";"                Maria Estela de Lima Nunes                f113adm@cps.sp.gov.br              ";"                Robinson Mingues D’ Onofre                f113acad@cps.sp.gov.br              ";"                (11) 4543-3221 / 4543-3238 / 4519-5899                Discagem Abreviada: (6) 113              ";"                08/12              ";"Av. Antonia Rosa Fioravante, 804 - Vila Fausto Morelli - CEP: 09360-120 - Mauá/SP";"http://www.fatecmaua.com.br              ";"                                                  Facebook: https://www.facebook.com/fatecmauaoficial                                                                                  Instagram: https://www.instagram.com/fatecmauaoficial/                                                                                  X: https://twitter.com/fatecmaua                                                                                  Linkedin: https://www.linkedin.com/school/fatecmaua/                                                                                  Youtube: https://www.youtube.com/channel/UC10UMskglXfXb0yG7zZ4ikg                                                                                                                              ";"                                                                                Decreto de Criação: 46.930, de 19/07/2002 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2002/decreto-46930-19.07.2002.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_maua.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisDesenvolvimento de Software MultiplataformaFabricação MecânicaInformática para NegóciosLogísticaPolímeros                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                120              ";"Fatec Mococa";"A Fatec foi implantada em 2004.";"62.823.257/0120-26";"                Campinas                         ";"                Mococa              ";"                Adriano Dias de Carvalho                f120dir@cps.sp.gov.br              ";"                Thiago Paschoalino                f120adm@cps.sp.gov.br              ";"                Rodrigo Luiz Pereira                f120acad@cps.sp.gov.br              ";"                (19) 3656-5559 / 3665-5079 / 3665-6005 / 3665-6484                Discagem Abreviada: (6) 120              ";"                05/04              ";"Av. Dr. Américo Pereira Lima, s/nº Jardim Lavínia - CEP: 13736-260 - Mococa/SP";"https://fatecmococa.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/fatec.mococa                                                                                  Instagram: https://www.instagram.com/fatec_mococa                                                                                  X: https://twitter.com/fatec_mococa                                                                                  Linkedin: https://www.linkedin.com/company/fatecmococa                                                                                  Youtube: https://www.youtube.com/@Fatec.Mococa                                                                                                                                                  Whatsapp: https://api.whatsapp.com/send?phone=5519995055750                                              ";"                                                                                Decreto de Criação: 48.434, de 07/01/2004 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2004/decreto-48434-07.01.2004.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_mococa.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAgronegócioAnálise e Desenvolvimento de SistemasGestão de Recursos HumanosGestão EmpresarialSistemas para Internet                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                184              ";"Fatec Mogi das Cruzes";"A Fatec foi implantada no 2º semestre de 2008.";"62.823.257/0184-90";"                Metropolitana de São Paulo                         ";"                Mogi das Cruzes              ";"                Bruno Marques Panccioni                f184dir@cps.sp.gov.br              ";"                Monica Anniele Nagata do Vau                f184adm@cps.sp.gov.br              ";"                Emilene Alice Camillo                f184acad@cps.sp.gov.br              ";"                (11) 4699-2799                Discagem Abreviada: (6) 184              ";"                01/09              ";"Rua Carlos Barattino, 908 - Vila Mogilar - CEP: 08831-570 - Mogi das Cruzes/SP";"http://www.fatecmogidascruzes.com.br              ";"                                                  Facebook: https://www.facebook.com/FATECMC                                                                                  Instagram: https://www.instagram.com/fatecmc                                                                                                  Linkedin: https://www.linkedin.com/school/fatec-mogi-das-cruzes                                                                                  Youtube: https://www.youtube.com/c/FatecMogidasCruzesoficial                                                                                                                              ";"                                                                                Decreto de Criação: 53.371, de 02/09/2008 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2008/decreto-53371-02.09.2008.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_mogi_das_cruzes.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAgronegócioAnálise e Desenvolvimento de SistemasGestão de Recursos HumanosLogística                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                163              ";"Fatec Mogi Mirim – Arthur de Azevedo";"A Fatec foi implantada no 2º semestre de 2007.";"62.823.257/0163-66";"                Campinas                         ";"                Mogi Mirim              ";"                César Eduardo Soares Bagnolo                f163dir@cps.sp.gov.br              ";"                Michele David Berra                f163adm@cps.sp.gov.br              ";"                Luciana Innarelli                f163acad@cps.sp.gov.br              ";"                (19) 3804-5390 / 3804-5360 / 3806-3139 / 3806-2181                Discagem Abreviada: (6) 163              ";"                22/10              ";"Rua Ariovaldo Silveira Franco, 567, Jardim 31 de Março - CEP: 13801-005 - Mogi Mirim/SP";"https://fatecmm.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/fatecmm                                                                                  Instagram: https://www.instagram.com/fatecmogimirim                                                                                  X: https://twitter.com/fatecmogimirim                                                                                  Linkedin: https://www.linkedin.com/school/fatec163/                                                                                  Youtube: https://www.youtube.com/c/FatecMogiMirimCanal                                                                                                                              ";"                                                                                Decreto de Criação: 51.878, de 06/06/2007 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2007/decreto-51878-06.06.2007.html                                    Lei de Denominação: 13.795,de 04/11/2009 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2009/lei-13795-04.11.2009.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_mogi_mirim.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasEngenharia MecânicaFabricação MecânicaMecatrônica IndustrialProjetos Mecânicos                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                312              ";"Fatec Olímpia";"";"62.823.257/0312-41";"                Barretos                         ";"                Olímpia              ";"                Rafael dos Santos Borges                f312dir@cps.sp.gov.br              ";"                                f312adm@cps.sp.gov.br              ";"                                f312acad@cps.sp.gov.br              ";"                (17) 98131-6485                Discagem Abreviada: (6) 312              ";"                02/03              ";"Av. Governador Adhemar Pereira de Barros, km3 - Recanto Bela Vista - CEP 15400-000 - Olímpia/SP";"https://fatecolimpia.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/profile.php?id=61576044720518                                                                                  Instagram: https://www.instagram.com/fatecolimpia/                                                                                                                  Youtube: https://www.youtube.com/@FatecOl%C3%ADmpia                                                                                                                              ";"                                                                                Decreto de Criação: 69.775, de 11/08/2025 -                     https://al.sp.gov.br/repositorio/legislacao/decreto/2025/decreto-69775-11.08.2025.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2025/04/fatec_ra_barretos_olimpia.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisDesenvolvimento de Software MultiplataformaGestão de Turismo                                                                                                      "
"                216              ";"Fatec Osasco – Prefeito Hirant Sanazar";"A Fatec foi implantada no 1º semestre de 2010.";"62.823.257/0216-02";"                Metropolitana de São Paulo                         ";"                Osasco              ";"                Willian Aurelio Nogueira                f216dir@cps.sp.gov.br              ";"                Stefania Felix dos Santos                f216adm@cps.sp.gov.br              ";"                Marcos Vinícios Christo                f216acad@cps.sp.gov.br              ";"                (11) 3603-9910 / 3656-0203                Discagem Abreviada: (6) 216              ";"                19/02              ";"Rua Pedro Rissato, 30 - Vila dos Remédios - CEP: 06296-220 - Osasco/SP";"https://fatecosasco.cps.sp.gov.br              ";"                                                  Facebook: https://www.facebook.com/FatecOsascoPrefeitoHirantSanazar                                                                                  Instagram: https://www.instagram.com/fatec_osasco                                                                                  X: https://twitter.com/FatecOsasco                                                                                  Linkedin: https://www.linkedin.com/company/fatecosasco                                                                                  Youtube: https://www.youtube.com/c/AconteceFATECOsasco                                                                                                                              ";"                                                                                Decreto de Criação: 54.729, de 01/09/2009 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2009/decreto-54729-01.09.2009.html                                    Lei de Denominação: 14.213, de 03/09/2010 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2010/lei-14213-03.09.2010.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_osasco.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAutomação IndustrialDesenvolvimento de Software MultiplataformaGestão FinanceiraManutenção IndustrialRedes de ComputadoresSistemas Biomédicos                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                021              ";"Fatec Ourinhos";"a unidade foi implantada em 1991.";"62.823.257/0021-44";"                Marília                         ";"                Ourinhos              ";"                Donizeti Aparecido Mello                f021dir@cps.sp.gov.br              ";"                Juliana Gonçalves de Oliveira Gasparoto Jardim                f021adm@cps.sp.gov.br              ";"                Penha Regina de Oliveira Messias                f021acad@cps.sp.gov.br              ";"                 (14) 3302 - 9800                Discagem Abreviada: (6) 021              ";"                13/12              ";"Av. Vitalina Marcusso, 1.400 - Campus Universitário - CEP: 19910-206 - Ourinhos/SP";"https://fatecourinhos.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/fatecourinhos.edu.br                                                                                  Instagram: https://www.instagram.com/fatecourinhos                                                                                  X: https://twitter.com/FatecOurinhos                                                                                  Linkedin: https://www.linkedin.com/school/fatecourinhos/                                                                                  Youtube: https://www.youtube.com/channel/UClolcrQcoqucg19e5ZViggA                                                                                                                              ";"                                                                                Decreto de Criação: 42.605, de 09/12/1997 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/1997/decreto-42605-09.12.1997.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_marilia_ourinhos.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAgronegócioAnálise e Desenvolvimento de SistemasCiência de DadosJogos DigitaisSegurança da Informação                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                275              ";"Fatec Paraguaçu Paulista (início das atividades 1º sem/2027)";"";"";"                Marília                         ";"                Paraguaçu Paulista              ";"                                f275dir@cps.sp.gov.br              ";"                                f275adm@cps.sp.gov.br              ";"                                f275acad@cps.sp.gov.br              ";"                                Discagem Abreviada: (6) 275              ";"                12/03              ";"";"              ";"                                                                                                                                                                              ";"                                                                                 -                                                                                 ";"                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de Sistemas                                                                                                      "
"                313              ";"Fatec Paulínia";"";"62.823.257/0313-22";"                Campinas                         ";"                Paulínia              ";"                                f313dir@cps.sp.gov.br              ";"                                f313adm@cps.sp.gov.br              ";"                                f313acad@cps.sp.gov.br              ";"                (11) 3322-2205                Discagem Abreviada: (6) 313              ";"                28/02              ";"Avenida dos Expedicionários, 1474 - Jardim Vista Alegre Paulínia/SP";"              ";"                                                  Facebook: https://www.facebook.com/profile.php?id=61581705677854                                                                                  Instagram: https://www.instagram.com/fatecpaulinia                                                                                                                                                                              ";"                                                                                Decreto de Criação: 70.431, de 10/03/2026 -                     https://doe.sp.gov.br/executivo/decretos/decreto-n-70431-de-10-de-marco-de-2026                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2025/09/fatec_ra_campinas_paulinia.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de Sistemas                                                                                                      "
"                133              ";"Fatec Pindamonhangaba";"A Fatec foi implantada em 2006.";"62.823.257/0133-40";"                São José dos Campos                         ";"                Pindamonhangaba              ";"                Sergio Roberto Montoro                f133dir@cps.sp.gov.br              ";"                Matheus Henrique de Oliveira Ribeiro                f133adm@cps.sp.gov.br              ";"                Daniele Cristina de Andrade Freitas                f133acad@cps.sp.gov.br              ";"                (12) 3648-8756 / 3642-5648                Discagem Abreviada: (6) 133              ";"                10/07              ";"Rodovia Vereador Abel Fabrício Dias, 4.010 (SP 062) - Água Preta - CEP: 12445-010 - Pindamonhangaba/SP";"https://fatecpindamonhangaba.cps.sp.gov.br              ";"                                                  Facebook: https://www.facebook.com/FatecPinda                                                                                  Instagram: https://www.instagram.com/fatecpinda                                                                                                  Linkedin: https://www.linkedin.com/company/fatecpinda                                                                                  Youtube: https://www.youtube.com/c/FatecPinda                                                                                                                              ";"                                                                                Decreto de Criação: 50.576, de 02/03/2006 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2006/decreto-50576-02.03.2006.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sao_jose_dos_campos_pidamonhangaba.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisGestão de Negócios e InovaçãoManutenção IndustrialMecânica: Processos de SoldagemProcessos MetalúrgicosProjetos Mecânicos                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                175              ";"Fatec Piracicaba – Deputado Roque Trevisan";"A Fatec foi implantada no 1º semestre de 2008.";"62.823.257/0175-08";"                Campinas                         ";"                Piracicaba              ";"                Maria Helena Berbardo Marini                f175dir@cps.sp.gov.br              ";"                Willian Cristiano Bertini                f175adm@cps.sp.gov.br              ";"                Janaína de Oliveira                f175acad@cps.sp.gov.br              ";"                (19) 3413-1702 / 3434-7317                Discagem Abreviada: (6) 175              ";"                01/08              ";"Av. Diácono Jair de Oliveira, 651 - Santa Rosa - CEP: 13414-155 - Piracicaba/SP";"https://fatecpiracicaba.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/piracicabafatec                                                                                  Instagram: https://www.instagram.com/fatecpiracicaba                                                                                  X: https://twitter.com/FatecPiracicaba                                                                                                  Youtube: https://www.youtube.com/channel/UC_OfO6DbuZbWvS2om1encHQ                                                                                                                                                  Whatsapp: https://api.whatsapp.com/send?phone=551934131702                                              ";"                                                                                Decreto de Criação: 52.643, de 21/01/2008 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2008/decreto-52643-21.01.2008.html                                    Lei de Denominação: 14.655, de 26/12/2011 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2011/lei-14655-26.12.2011.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_piracicaba.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAlimentosBiocombustíveisGestão Empresarial                                                                                                      "
"                259              ";"Fatec Pompeia – Shunji Nishimura";"A Fatec Pompeia iniciou suas atividades como campus da Fatec de Marília, no primeiro semestre de 2010. A assinatura do decreto de criação da Fatec ocorreu durante a cerimônia de inauguração do Memorial em homenagem ao criador da Fundação Nishimura, em 21 de abril de 2012.";"62.823.257.0259-42";"                Marília                         ";"                Pompeia              ";"                Marisa Silveira Almeida Renaud Faulin                f259dir@cps.sp.gov.br              ";"                Simone Yugue Kawano                f259adm@cps.sp.gov.br              ";"                Nathalha Santos May                f259acad@cps.sp.gov.br              ";"                (14) 3452-1294                Discagem Abreviada: (6) 259              ";"                17/09              ";"Av. Shunji Nishimura, 605 - Distrito Industrial - Centro - CEP: 17580-000 - Pompéia/SP";"http://www.fatecpompeia.edu.br              ";"                                                  Facebook: https://www.facebook.com/fatecshunjinishimura                                                                                  Instagram: https://www.instagram.com/fatecpompeiaoficial                                                                                                  Linkedin: https://www.linkedin.com/company/fatecpompeiaoficial                                                                                  Youtube: https://www.youtube.com/channel/UCaqyHgrF5PWoNcowZ2tdZZw                                                                                                                              ";"                                                                                Decreto de Criação: 58.004, de 24/04/2012 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2012/decreto-58004-24.04.2012.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_marilia_pompeia.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisMecanização em Agricultura de PrecisãoSistemas Inteligentes                                                                                                      "
"                311              ";"Fatec Porto Ferreira";"";"62.823.257/0311-60";"                Central                         ";"                Porto Ferreira              ";"                Nilton Cesar Sacco                f311dir@cps.sp.gov.br              ";"                Roseane C. Dercello Mousessian                f311adm@cps.sp.gov.br              ";"                Mariele Monique Honorato Fernandes Asmus                f311acad@cps.sp.gov.br              ";"                (19) 3589-5800                Discagem Abreviada: (6) 311              ";"                29/07              ";"Rua Padre Nestor C. Maranhão, 40 - Jardim Aeroporto, Porto Ferreira - SP, 13660-000";"https://fatecportoferreira.cps.sp.gov.br/              ";"                                                                  Instagram: https://www.instagram.com/fatecportoferreira/                                                                                                                                                                              ";"                                                                                Decreto de Criação: 69.690, de 08/07/2025 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2025/decreto-69690-08.07.2025.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/11/fatec_ra_central_porto_ferreira.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisDesenvolvimento de Software MultiplataformaLogística                                                                                                      "
"                129              ";"Fatec Praia Grande";"A Fatec foi implantada no 1º semestre de 2006";"62.823.257/0129-64";"                Baixada Santista                         ";"                Praia Grande              ";"                Ulysses Camargo Corrêa Diegues                f129dir@cps.sp.gov.br              ";"                Vanusa Santos de Barros                f129adm@cps.sp.gov.br              ";"                Denise Silva de Sousa Vilar                f129acad@cps.sp.gov.br              ";"                (13) 3591-1303 / 3591-6968                Discagem Abreviada: (6) 129              ";"                19/01              ";"Praça 19 de Janeiro, 144 - Boqueirão - CEP: 11700-100 - Praia Grande/SP";"https://fatecpg.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/fatecpg                                                                                  Instagram: https://www.instagram.com/fatec.pg                                                                                  X: https://twitter.com/fatecpg                                                                                  Linkedin: https://www.linkedin.com/school/centro-paula-souza---fatec-praia-grande                                                                                  Youtube: https://www.youtube.com/channel/UC9VFl0tK4NAl92PIt5Qhggw                                                                                                                              ";"                                                                                Decreto de Criação: 50.577, de 02/03/2006 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2006/decreto-50577-02.03.2006.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_baixada_santista_praia_grande.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasComércio ExteriorDesenvolvimento de Software MultiplataformaGestão EmpresarialProcessos Químicos                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                204              ";"Fatec Praia Grande – Maracanã (implantação prevista para 2027)";"";"";"                Baixada Santista                         ";"                Praia Grande              ";"                                f204dir@cps.sp.gov.br              ";"                                f204adm@cps.sp.gov.br              ";"                                f204acad@cps.sp.gov.br              ";"                                Discagem Abreviada: (6) 204              ";"                19/01              ";"";"              ";"                                                                                                                                                                              ";"                                                                                 -                                                                                 ";"                            ";"                                                                                                                                                                                    "
"                157              ";"Fatec Presidente Prudente";"A Fatec foi implantada no 1º semestre de 2007";"62.823.257/0157-18";"                Presidente Prudente                         ";"                Presidente Prudente              ";"                Ari Alves de Oliveira Filho                f157dir@cps.sp.gov.br              ";"                Emerson Ferreira da Silva                f157adm@cps.sp.gov.br              ";"                Rosangela de Carvalho Sufi                f157acad@cps.sp.gov.br              ";"                (18) 3916-7887 / 3917-2064                Discagem Abreviada: (6) 157              ";"                14/09              ";"Rua Teresina, 75 - Vila Paulo Roberto - CEP: 19046-230 - Presidente Prudente/SP";"https://fatecpp.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/FatecPrudente                                                                                  Instagram: https://www.instagram.com/fatecprudente                                                                                  X: https://twitter.com/FatecPrudente                                                                                  Linkedin: https://www.linkedin.com/school/fatec-presidente-prudente                                                                                  Youtube: https://www.youtube.com/user/FatecPrudente                                                                                                   Tiktok: https://www.tiktok.com/@fatecprudente                                                                                                                  Whatsapp: https://api.whatsapp.com/send?phone=5518996867331                                              ";"                                                                                Decreto de Criação: 51.331, de 05/12/2006 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2006/decreto-51331-05.12.2006.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_presidente_prudente_presidente_prudente.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAgronegócioAnálise e Desenvolvimento de SistemasGestão de EventosGestão EmpresarialMarketingProdução Agropecuária                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                299              ";"Fatec Registro";"A Fatec foi implantada no 1º semestre de 2022.";"62.823.257.0299-30";"                Registro                         ";"                Registro              ";"                Célio Daroncho                f299dir@cps.sp.gov.br              ";"                Jucilene Ribeiro Machado                f299adm@cps.sp.gov.br              ";"                José Cristiano Goes                f299acad@cps.sp.gov.br              ";"                (13) 2130-5455                Discagem Abreviada: (6) 299              ";"                30/11              ";"Av. Clara Gianotti de Souza, 257 - Centro, Registro - SP, CEP 11900-000";"https://fatecregistro.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/FatecRegistro                                                                                  Instagram: https://www.instagram.com/fatecregistro                                                                                  X: https://twitter.com/FatecRegistro                                                                                  Linkedin: https://www.linkedin.com/company/fatec-registro                                                                                                                                              ";"                                                                                Decreto de Criação: 66.596, de 24/03/2022 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2022/decreto-66596-24.03.2022.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2022/02/fatec_ra_registro_registro.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisDesenvolvimento de Software MultiplataformaGestão Empresarial                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                284              ";"Fatec Ribeirão Preto";"A Fatec foi implantada no 2º semestre de 2015";"62.823.257/0284-53";"                Ribeirão Preto                         ";"                Ribeirão Preto              ";"                Aparecido Doniseti da Costa                f284dir@cps.sp.gov.br              ";"                Roberta Miyamoto Monghini                f284adm@cps.sp.gov.br              ";"                Daniel Andrade da Cunha                f284acad@cps.sp.gov.br              ";"                (16) 3919-2320 / 3919-1871                Discagem Abreviada: (6) 284              ";"                19/06              ";"Av. Pio XII, 1255 - Vila Virginia - Ribeirão Preto/SP";"https://fatecrp.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/fatecribeirao                                                                                  Instagram: https://www.instagram.com/fatecribeiraopreto                                                                                  X: https://twitter.com/FatecRibeirao                                                                                  Linkedin: https://www.linkedin.com/school/fatecribeiraopreto                                                                                  Youtube: https://www.youtube.com/channel/UCniCNDqvtQRkMX8XiUKafUQ                                                                                                                              ";"                                                                                Decreto de Criação: 61.370, de 21/07/2015 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2015/decreto-61370-20.07.2015.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_ribeirao_preto_ribeirao_preto.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasGestão de Negócios e InovaçãoGestão de Recursos HumanosSistemas Biomédicos                                                                                                      "
"                310              ";"Fatec Rio Claro – Prof. Álvares Gracioli";"";"62.823.257/0310-80";"                Campinas                         ";"                Rio Claro              ";"                Emilena Lorenzon Bianco                f310dir@cps.sp.gov.br              ";"                                f310adm@cps.sp.gov.br              ";"                                f310acad@cps.sp.gov.br              ";"                (19) 99739-3638                Discagem Abreviada: (6) 310              ";"                24/06              ";"Rua 2, nº 2.877, Vila Operária – Rio Claro";"https://fatecrioclaro.cps.sp.gov.br/              ";"                                                                  Instagram: https://www.instagram.com/fatecrc/                                                                                                                                                                              ";"                                                                                Decreto de Criação: 69.601, de 09/06/2025 -                     https://al.sp.gov.br/repositorio/legislacao/decreto/2025/decreto-69601-09.06.2025.html                                    Lei de Denominação: 17.200, de 04/11/2019 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2019/lei-17200-04.11.2019.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/11/fatec_ra_campinas_fatec_rio_claro.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisGestão da Sustentabilidade Ambiental, Social e Governança CorporativaInteligência Artificial                                                                                                      "
"                283              ";"Fatec Santana de Parnaíba";"A Fatec foi implantada no 1º semestre de 2015.";"62.823.257/0283-72";"                Metropolitana de São Paulo                         ";"                Santana de Parnaíba              ";"                Ricardo Slavov                f283dir@cps.sp.gov.br              ";"                Leilane Melo de Souza                f283adm@cps.sp.gov.br              ";"                Ana Paula Freitas de Lima Gomes                f283acad@cps.sp.gov.br              ";"                (11) 2424-2757 / 2424-2754                Discagem Abreviada: (6) 283              ";"                14/11              ";"Av. Tenente Marques, 6380 - Fazendinha - CEP: 06529-001 - Santana de Panaíba/SP";"https://fatecsdp.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/fatecsdp                                                                                  Instagram: https://www.instagram.com/fatecsdp                                                                                                  Linkedin: https://www.linkedin.com/company/fatec-santana-de-parna%C3%Adba                                                                                  Youtube: https://www.youtube.com/@fatecsantanadeparnaiba                                                                                                  Tiktok: https://tiktok.com/@fatecsantanadeparnaiba                                                                                                                  Whatsapp: https://api.whatsapp.com/send?phone=5511993868094                                              ";"                                                                                Decreto de Criação: 61.110, de 03/02/2015 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2015/decreto-61110-03.02.2015.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_santana_de_parnaiba.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasCiência de DadosGestão ComercialSegurança da Informação                                                                                                      "
